"Select a different pickup location","Selecteer een ander ophaalpunt"
"Select a different delivery method","Selecteer een andere verzendmethode"
"between %1 and %2",""tussen %1 en %2""
"Pick Up:","Ophalen:"
"Delivery:","Bezorging:"
"House number","Huisnummer"
"House nr. Addition","Huisnummer toevoeging"
"after %1","na %1"
"before %1","voor %1"
"Shipping Methods","Verzendmethodes"
"Street Name","Straatnaam"
"House Number","Huisnummer"
"House Number Addition","Huisnummer toevoeging"
"Enable zipcode validation","Zet postcode validatie aan"
"This will enable zipcode + house number validation in NL","Dit zet postcode + huisnummer validatie aan in Nederland"
